房屋ID,面积,房间数,卫生间数,楼层,总楼层,建造年份,地铁距离,学校距离,商场距离,装修等级,朝向,小区类型,房价
H048,172.1,4,3,2,8,2020,0.2,0.1,0.3,豪华装修,南,豪华小区,1580000
H049,93.7,2,1,12,18,2015,1.0,0.7,1.6,精装修,西,高档小区,530000
H050,107.8,3,1,16,22,2017,0.7,0.5,1.2,精装修,南,高档小区,610000
H051,77.3,2,1,4,12,2011,1.8,1.4,2.6,简装修,东,普通小区,350000
H052,164.5,4,2,13,25,2019,0.3,0.2,0.7,豪华装修,南,豪华小区,1280000
H053,81.9,2,1,9,20,2013,1.3,1.0,1.9,简装修,北,普通小区,360000
H054,123.6,3,2,18,28,2016,0.5,0.4,0.9,精装修,南,高档小区,720000
H055,69.2,1,1,15,25,2010,2.3,1.9,3.4,毛坯,西,普通小区,280000
H056,151.8,4,3,6,15,2018,0.4,0.3,0.8,精装修,南,高档小区,1020000
H057,90.5,2,1,11,18,2014,1.2,0.9,1.7,精装修,东,高档小区,500000
H058,195.7,5,4,3,10,2021,0.1,0.1,0.2,豪华装修,南,豪华小区,1950000
H059,85.1,2,1,8,16,2012,1.4,1.1,2.1,简装修,西,普通小区,380000
H060,118.3,3,2,20,30,2017,0.6,0.4,1.1,精装修,南,高档小区,690000
H061,74.7,1,1,5,14,2011,1.9,1.5,2.8,简装修,北,普通小区,320000
H062,157.2,4,3,12,22,2019,0.3,0.2,0.6,豪华装修,南,豪华小区,1320000
H063,92.8,2,1,14,20,2015,1.0,0.8,1.5,精装修,东,高档小区,520000
H064,135.4,3,2,7,16,2016,0.7,0.5,1.2,精装修,南,高档小区,810000
H065,67.5,1,1,18,25,2010,2.4,2.0,3.6,毛坯,西,普通小区,260000
H066,143.9,4,2,4,12,2018,0.4,0.3,0.8,精装修,南,高档小区,980000
H067,87.2,2,1,10,18,2013,1.3,1.0,1.9,简装修,北,普通小区,390000
H068,179.6,4,3,16,28,2020,0.2,0.1,0.4,豪华装修,南,豪华小区,1620000
H069,95.9,2,1,6,14,2014,1.1,0.8,1.6,精装修,西,高档小区,540000
H070,111.4,3,1,22,30,2017,0.8,0.6,1.3,精装修,南,高档小区,630000
H071,76.8,2,1,9,16,2012,1.6,1.3,2.4,简装修,东,普通小区,340000
H072,168.3,4,3,1,8,2021,0.2,0.1,0.3,豪华装修,南,豪华小区,1550000
H073,83.6,2,1,13,20,2015,1.2,0.9,1.8,精装修,北,高档小区,470000
H074,127.1,3,2,11,22,2016,0.6,0.4,1.0,精装修,南,高档小区,760000
H075,71.4,1,1,7,15,2011,2.0,1.6,3.0,简装修,西,普通小区,300000
H076,154.7,4,2,19,25,2018,0.4,0.3,0.7,精装修,南,高档小区,1040000
H077,89.1,2,1,5,12,2013,1.4,1.1,2.0,简装修,东,普通小区,390000
H078,192.8,5,4,8,18,2020,0.1,0.1,0.2,豪华装修,南,豪华小区,1880000
H079,96.7,2,1,15,22,2014,1.0,0.7,1.5,精装修,西,高档小区,550000
H080,114.9,3,2,3,10,2017,0.7,0.5,1.1,精装修,南,高档小区,660000
H081,78.5,2,1,12,18,2012,1.5,1.2,2.3,简装修,北,普通小区,350000
H082,161.6,4,3,17,28,2019,0.3,0.2,0.6,豪华装修,南,豪华小区,1350000
H083,91.3,2,1,8,16,2015,1.1,0.8,1.7,精装修,东,高档小区,510000
H084,129.8,3,2,14,24,2016,0.5,0.4,0.9,精装修,南,高档小区,780000
H085,65.2,1,1,20,30,2010,2.5,2.1,3.7,毛坯,西,普通小区,250000
H086,147.5,4,2,6,14,2018,0.4,0.3,0.8,精装修,南,高档小区,1000000
H087,84.8,2,1,11,20,2013,1.3,1.0,1.9,简装修,北,普通小区,380000
H088,175.2,4,3,9,18,2020,0.2,0.1,0.4,豪华装修,南,豪华小区,1600000
H089,98.4,2,1,16,25,2014,0.9,0.7,1.4,精装修,西,高档小区,560000
H090,121.7,3,2,4,12,2017,0.6,0.4,1.0,精装修,南,高档小区,710000
H091,73.1,1,1,18,28,2011,2.1,1.7,3.2,简装修,东,普通小区,310000
H092,158.9,4,3,2,8,2019,0.3,0.2,0.5,豪华装修,南,豪华小区,1380000
H093,86.7,2,1,13,22,2015,1.2,0.9,1.8,精装修,北,高档小区,480000
H094,133.2,3,2,10,20,2016,0.7,0.5,1.2,精装修,南,高档小区,800000
H095,70.6,1,1,5,14,2012,1.9,1.5,2.9,简装修,西,普通小区,290000
H096,149.1,4,2,21,30,2018,0.4,0.3,0.7,精装修,南,高档小区,1010000
H097,88.9,2,1,7,16,2013,1.4,1.1,2.1,简装修,东,普通小区,390000
H098,188.4,5,4,12,24,2021,0.1,0.1,0.3,豪华装修,南,豪华小区,1820000
H099,94.6,2,1,19,28,2014,1.0,0.8,1.6,精装修,西,高档小区,540000
H100,117.8,3,2,15,25,2017,0.6,0.4,1.1,精装修,南,高档小区,680000
